Código;Razón
B372;El código ya existe
B373;El código ya existe
B374;El código ya existe
B375;El código ya existe
B376;El código ya existe
B377;El código ya existe
B378;El código ya existe
B379;El código ya existe
B380;El código ya existe
B381;El código ya existe
B382;El código ya existe
B383;El código ya existe
B384;El código ya existe
B385;El código ya existe
B386;El código ya existe
B387;El código ya existe
B388;El código ya existe
B389;El código ya existe
B390;El código ya existe
B391;El código ya existe
B392;El código ya existe
B393;El código ya existe
B394;El código ya existe
B395;El código ya existe
B396;El código ya existe
B397;El código ya existe
B398;El código ya existe
B399;El código ya existe
B400;El código ya existe
B401;El código ya existe
B402;El código ya existe
B403;El código ya existe
B404;El código ya existe
B405;El código ya existe
B406;El código ya existe
B407;El código ya existe
B408;El código ya existe
B409;El código ya existe
B410;El código ya existe
B411;El código ya existe
B412;El código ya existe
B413;El código ya existe
B414;El código ya existe
B415;El código ya existe
B416;El código ya existe
B417;El código ya existe
B418;El código ya existe
B419;El código ya existe
B420;El código ya existe
B421;El código ya existe
B422;El código ya existe
B423;El código ya existe
B424;El código ya existe
B425;El código ya existe
B426;El código ya existe
B427;El código ya existe
B428;El código ya existe
B429;El código ya existe
B430;El código ya existe
B431;El código ya existe
B432;El código ya existe
B433;El código ya existe
B434;El código ya existe
B435;El código ya existe
B436;El código ya existe
B437;El código ya existe
B438;El código ya existe
B439;El código ya existe
B440;El código ya existe
B441;El código ya existe
B442;El código ya existe
B443;El código ya existe
B444;El código ya existe
B445;El código ya existe
B446;El código ya existe
B447;El código ya existe
B448;El código ya existe
B449;El código ya existe
B450;El código ya existe
B451;El código ya existe
B452;El código ya existe
B453;El código ya existe
B454;El código ya existe
B455;El código ya existe
B456;El código ya existe
B457;El código ya existe
B458;El código ya existe
B459;El código ya existe
B460;El código ya existe
B461;El código ya existe
B462;El código ya existe
B463;El código ya existe
B464;El código ya existe
B465;El código ya existe
B466;El código ya existe
B467;El código ya existe
B468;El código ya existe
B469;El código ya existe
B470;El código ya existe
B471;El código ya existe
B472;El código ya existe
B473;El código ya existe
B474;El código ya existe
B475;El código ya existe
B476;El código ya existe
B477;El código ya existe
B478;El código ya existe
B479;El código ya existe
B480;El código ya existe
B481;El código ya existe
B482;El código ya existe
B483;El código ya existe
B484;El código ya existe
B485;El código ya existe
B486;El código ya existe
B487;El código ya existe
B488;El código ya existe
B489;El código ya existe
B490;El código ya existe
B491;El código ya existe
B492;El código ya existe
B493;El código ya existe
B494;El código ya existe
B495;El código ya existe
B496;El código ya existe
B497;El código ya existe
B498;El código ya existe
B499;El código ya existe
B500;El código ya existe
B501;El código ya existe
B502;El código ya existe
B503;El código ya existe
B504;El código ya existe
B505;El código ya existe
B506;El código ya existe
B507;El código ya existe
